,Bairros,Média dos Preços
0,District_Artur Alvim,3995.5559036363043
1,District_Belém,6619.881369268286
2,District_Cangaíba,4904.508761644932
3,District_Carrão,6492.402751601046
4,District_Cidade Líder,4311.586166539006
5,District_Cidade Tiradentes,2500.353620736124
6,District_Ermelino Matarazzo,4613.149477533119
7,District_Iguatemi,17102.299462587653
8,District_Itaim Paulista,3917.745819943591
9,District_Itaquera,4200.34975476208
10,District_Jardim Helena,4626.438585563013
11,District_José Bonifácio,4608.965953202544
12,District_Lajeado,3534.389584783784
13,District_Parque do Carmo,4379.796060715652
14,District_Penha,5402.374716020625
15,District_Ponte Rasa,5013.730516713193
16,District_Sapopemba,5079.602675735112
17,District_São Lucas,5480.173781717237
18,District_São Mateus,4464.781482326089
19,District_São Miguel,4324.998300401734
20,District_São Rafael,3579.5613829144268
21,District_Tatuapé,7444.602234916175
22,District_Vila Curuçá,4511.119525183796
23,District_Vila Formosa,6690.276445944261
24,District_Vila Jacuí,4672.980407274479
25,District_Vila Matilde,5709.717675966243
26,District_Vila Prudente,6594.100893393615
27,District_Cambuci,6427.600401300948
28,District_Campo Belo,10555.173447148785
29,District_Campo Grande,6227.490560087814
30,District_Campo Limpo,4740.402606797364
31,District_Capão Redondo,4299.553080472742
32,District_Cidade Ademar,5498.01338379468
33,District_Cidade Dutra,5022.371086189618
34,District_Cursino,6588.825090193529
35,District_Grajaú,4137.425828368745
36,District_Ipiranga,8260.590560148283
37,District_Itaim Bibi,14265.782935777836
38,District_Jabaquara,6599.564153016832
39,District_Jardim Ângela,4980.314367398135
40,District_Jardim Paulista,11813.187553925602
41,District_Moema,11827.901098638327
42,District_Morumbi,5612.763712274691
43,District_Pedreira,4809.544722210875
44,District_Sacomã,5723.020168785556
45,District_Santo Amaro,7794.722068569326
46,District_Saúde,8446.027304346864
47,District_Socorro,5586.620327904264
48,District_Vila Andrade,5965.371291003651
49,District_Vila Mariana,10445.791072063574
50,District_Vila Sônia,6511.949510090812
51,District_Alto de Pinheiros,12644.409430022459
52,District_Anhanguera,6541.911034532601
53,District_Brasilândia,4576.861995091356
54,District_Butantã,7230.201733003644
55,District_Cachoeirinha,5286.029149655347
56,District_Freguesia do Ó,6023.184379007989
57,District_Jaguaré,6658.726879358394
58,District_Jaraguá,7565.241901013634
59,District_Lapa,7701.209699452893
60,District_Limão,6311.21998490821
61,District_Perdizes,9399.01719805147
62,District_Pinheiros,11590.637987766391
63,District_Pirituba,5703.256506222673
64,District_Raposo Tavares,4778.712716921616
65,District_Rio Pequeno,6183.474457984639
66,District_Vila Leopoldina,9648.806830841046
67,District_Barra Funda,7962.279279470442
68,District_Bela Vista,8358.774750618319
69,District_Bom Retiro,5992.807594889554
70,District_Brás,6161.497477181089
71,District_Consolação,10445.477483051103
72,District_Liberdade,6968.922872019656
73,District_Pari,6980.597783902687
74,District_República,7425.52895030839
75,District_Santa Cecília,8326.185798321108
76,District_Sé,6583.179741087503
77,District_Casa Verde,7224.133488743452
78,District_Jaçanã,5012.800031400113
79,District_Mandaqui,6535.036103486878
80,District_Santana,7390.181379358322
81,District_Tremembé,6522.040298908608
82,District_Tucuruvi,6236.865026763645
83,District_Vila Guilherme,6667.912239342088
84,District_Vila Maria,6435.606122052879
85,District_Medeiros,4268.987439501044
86,District_Água Rasa,7044.309384985234
87,District_Aricanduva,5109.634996278223
88,District_Guaianazes,3531.271038400716
89,District_Jardim São Luis,4308.119898074897
90,District_Vila Madalena,12048.614871618767
91,District_Mooca,7288.996562537793
92,District_Brooklin,10859.037515850689
93,District_Vila Olimpia,14395.442276911188
94,District_Perus,4748.1275382876065
95,District_São Domingos,6148.317335116419
